0.0,11,0	Moderator	Moderator/EthanBody	Moderator/EthanGlasses	Moderator/EthanSkeleton	Moderator/EthanSkeleton/EthanHips	Moderator/EthanSkeleton/EthanHips/EthanSpine	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg/EthanLeftFoot	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanLeftUpLeg/EthanLeftLeg/EthanLeftFoot/EthanLeftToe1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg/EthanRightFoot	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanRightUpLeg/EthanRightLeg/EthanRightFoot/EthanRightToe1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanHead	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm/EthanLeftForeArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanLeftShoulder/EthanLeftArm/EthanLeftForeArm/EthanLeftHand	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm/EthanRightForeArm	Moderator/EthanSkeleton/EthanHips/EthanSpine/EthanSpine1/EthanSpine2/EthanNeck/EthanRightShoulder/EthanRightArm/EthanRightForeArm/EthanRightHand
0.1861,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0038,0.7855,0.0114,359.5292,88.5688,269.0344,1,1,1	0.0035,0.8305,0.0105,359.5293,88.5691,273.9889,1,1,1	-0.0705,0.7849,0.0095,4.8231,271.5672,89.3025,1,1,1	-0.0761,0.4253,0.0537,3.8693,269.8978,105.4212,1,1,1	-0.0855,0.1035,-0.0374,0.3515,253.0294,89.6156,1,1,1	-0.1169,0.0172,0.0675,359.3439,253.0866,353.8894,1,1,1	0.0782,0.7862,0.0133,357.5847,270.9281,88.8078,1,1,1	0.0987,0.4284,0.0534,359.2232,282.5924,106.2427,1,1,1	0.106,0.1061,-0.037,359.9072,306.1093,90.073,1,1,1	0.1709,0.0207,0.0521,1.6264,305.9641,350.2736,1,1,1	0.0027,0.9786,-0.005,359.4138,89.4613,282.4467,1,1,1	0.0013,1.1074,0.0006,358.8271,90.2999,282.0696,1,1,1	-0.0013,1.2362,0.0054,358.8271,90.2999,267.0696,1,1,1	-0.003,1.3288,0.0419,0.198,96.8241,268.4424,1,1,1	-0.0273,1.2356,0.0056,291.6153,50.3627,130.0307,1,1,1	-0.1333,1.1669,-0.0046,289.0112,316.7035,244.6879,1,1,1	-0.1664,0.9261,-0.043,296.3512,340.8188,232.6512,1,1,1	-0.1827,0.7653,-0.041,17.2522,16.3958,186.1706,1,1,1	0.0247,1.2367,0.0054,68.8839,130.748,130.6001,1,1,1	0.13,1.167,-0.0057,67.0911,216.9807,227.2572,1,1,1	0.1627,0.9343,-0.0788,62.806,207.6976,227.903,1,1,1	0.183,0.7741,-0.0855,337.7997,173.3704,186.2422,1,1,1
0.258,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.016,0.7855,0.0112,359.3462,87.7379,268.4587,1,1,1	0.0155,0.8304,0.0099,359.3462,87.7381,273.4132,1,1,1	-0.0583,0.7846,0.0083,3.5586,269.9938,89.7056,1,1,1	-0.0731,0.4257,0.0548,2.8493,269.0797,105.4159,1,1,1	-0.0869,0.1042,-0.0365,0.2408,252.998,89.549,1,1,1	-0.1185,0.0178,0.0682,359.2368,253.056,353.8427,1,1,1	0.0903,0.7863,0.0142,356.5719,270.779,88.7438,1,1,1	0.1043,0.4283,0.054,358.1993,283.2882,105.8079,1,1,1	0.1044,0.1063,-0.0375,359.6871,306.2612,90.1822,1,1,1	0.1693,0.0211,0.0517,1.4876,306.1053,349.917,1,1,1	0.0145,0.9784,-0.0071,359.5672,88.5103,282.4977,1,1,1	0.0134,1.1071,-0.0014,358.9997,89.2931,281.9234,1,1,1	0.0111,1.2359,0.003,358.9997,89.2931,266.9233,1,1,1	0.009,1.3287,0.0392,0.4858,97.9545,268.7178,1,1,1	-0.015,1.2355,0.0027,291.6931,49.9678,129.362,1,1,1	-0.121,1.1671,-0.0092,289.0727,315.2919,245.065,1,1,1	-0.1528,0.9262,-0.048,296.4574,339.7613,232.6566,1,1,1	-0.169,0.7654,-0.0466,18.1413,15.3883,186.5722,1,1,1	0.0371,1.2364,0.0034,69.2555,129.9908,130.8881,1,1,1	0.1421,1.166,-0.0056,67.0071,217.4355,228.5198,1,1,1	0.1739,0.9328,-0.0773,62.9952,208.3712,229.074,1,1,1	0.1932,0.7724,-0.0827,337.8456,172.4737,188.3314,1,1,1
0.3309,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0257,0.7851,0.0098,359.128,87.3169,268.232,1,1,1	0.0251,0.8301,0.0082,359.1281,87.3171,273.1865,1,1,1	-0.0485,0.784,0.0063,2.5602,269.3025,90.1973,1,1,1	-0.0701,0.426,0.0556,1.8454,268.8452,105.4278,1,1,1	-0.0892,0.1049,-0.0358,0.108,252.8404,89.3193,1,1,1	-0.1212,0.0181,0.0684,359.0977,252.9032,353.5758,1,1,1	0.1,0.7863,0.0133,355.6763,270.9288,88.7865,1,1,1	0.1086,0.4282,0.0534,357.1953,284.042,105.5744,1,1,1	0.1017,0.1062,-0.038,359.4752,306.336,90.3136,1,1,1	0.1666,0.0213,0.0515,1.3562,306.1698,349.5865,1,1,1	0.0237,0.978,-0.0094,359.7845,87.981,282.8521,1,1,1	0.023,1.1067,-0.0029,359.1887,88.6955,282.0968,1,1,1	0.0211,1.2355,0.0019,359.1887,88.6955,267.0968,1,1,1	0.0189,1.3281,0.0384,0.7204,98.9626,268.7825,1,1,1	-0.005,1.2351,0.0014,291.9948,49.2831,129.3998,1,1,1	-0.1112,1.1672,-0.012,289.2004,315.0035,244.2748,1,1,1	-0.1426,0.9265,-0.0525,296.6735,339.1901,232.0447,1,1,1	-0.1593,0.7658,-0.0523,18.8247,14.4088,186.2142,1,1,1	0.0471,1.2359,0.0026,69.4232,130.2793,131.8659,1,1,1	0.1518,1.1649,-0.0055,66.7459,217.7826,229.08,1,1,1	0.1824,0.9315,-0.0774,62.9756,208.775,229.6981,1,1,1	0.201,0.7711,-0.0824,337.5138,171.5724,189.5616,1,1,1
0.4061,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0308,0.7848,0.0079,359.0883,87.2048,268.3493,1,1,1	0.0301,0.8298,0.0064,359.0884,87.2051,273.3038,1,1,1	-0.0435,0.7836,0.0043,2.0146,269.1519,90.5937,1,1,1	-0.0687,0.4263,0.0559,1.258,268.9473,105.5604,1,1,1	-0.0912,0.1053,-0.0348,0.0775,252.87,88.8523,1,1,1	-0.123,0.0176,0.0688,359.0804,252.9395,353.1804,1,1,1	0.1051,0.786,0.0115,355.2707,271.4944,88.981,1,1,1	0.1115,0.428,0.0528,356.5652,284.8951,105.5208,1,1,1	0.0998,0.106,-0.0378,359.4498,306.3991,90.2811,1,1,1	0.1647,0.021,0.0516,1.3795,306.2227,349.2725,1,1,1	0.0286,0.9777,-0.0109,359.916,87.8442,283.2097,1,1,1	0.0282,1.1064,-0.0036,359.3104,88.5447,282.2969,1,1,1	0.0265,1.2352,0.0017,359.3104,88.5447,267.2968,1,1,1	0.0244,1.3276,0.0384,0.8745,99.6129,268.841,1,1,1	0.0005,1.2348,0.0011,292.2113,49.0261,129.556,1,1,1	-0.1058,1.1672,-0.0127,289.2576,315.3716,243.5579,1,1,1	-0.1376,0.9267,-0.0543,296.7725,339.0112,231.5954,1,1,1	-0.1548,0.7661,-0.0547,19.0424,13.6563,185.9391,1,1,1	0.0525,1.2354,0.0024,69.4718,130.84,132.6637,1,1,1	0.1569,1.1641,-0.0056,66.5571,217.7156,228.9648,1,1,1	0.1872,0.9309,-0.0782,62.8983,208.8103,229.7447,1,1,1	0.2057,0.7705,-0.0834,337.2019,171.212,190,1,1,1
0.4674,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0358,0.7842,0.0048,359.3397,87.0566,268.6811,1,1,1	0.0353,0.8292,0.0036,359.3398,87.0569,273.6356,1,1,1	-0.0385,0.7834,0.0009,1.1823,268.4005,91.2257,1,1,1	-0.0696,0.427,0.056,0.6317,268.5981,106.061,1,1,1	-0.0952,0.1056,-0.0321,0.1777,253.0814,87.6514,1,1,1	-0.1259,0.0156,0.0699,359.2427,253.1633,352.3262,1,1,1	0.1101,0.7851,0.0086,354.8846,272.2167,89.3788,1,1,1	0.1147,0.4275,0.0524,355.8953,285.8897,105.4537,1,1,1	0.0978,0.1056,-0.0373,359.4624,306.4746,90.1149,1,1,1	0.1626,0.0203,0.0518,1.4502,306.2811,348.7672,1,1,1	0.0345,0.9772,-0.0129,359.9574,87.8208,283.6818,1,1,1	0.0341,1.1058,-0.0045,359.3985,88.6335,282.6826,1,1,1	0.0326,1.2346,0.0017,359.3985,88.6335,267.6826,1,1,1	0.0307,1.3268,0.039,0.9821,100.5391,269.151,1,1,1	0.0065,1.2343,0.0011,292.4948,48.719,130.094,1,1,1	-0.0999,1.1669,-0.0128,289.4237,315.9181,242.6464,1,1,1	-0.1319,0.9268,-0.0559,296.9407,338.9054,231.0787,1,1,1	-0.1495,0.7661,-0.0571,19.3321,13.1695,185.382,1,1,1	0.0586,1.2348,0.0023,69.4133,131.894,133.7922,1,1,1	0.1627,1.1632,-0.006,66.3145,217.1722,228.0802,1,1,1	0.1932,0.9306,-0.0805,62.7584,208.5594,229.196,1,1,1	0.2121,0.7702,-0.0864,336.5797,171.1687,190.2748,1,1,1
0.5258,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0375,0.784,0.0036,359.4985,86.9622,268.7794,1,1,1	0.0372,0.829,0.0025,359.4986,86.9625,273.7339,1,1,1	-0.0367,0.7833,-0.0004,0.9044,268.2199,91.4605,1,1,1	-0.0699,0.4273,0.056,0.4056,268.6715,106.3296,1,1,1	-0.0968,0.1056,-0.0305,0.2168,253.349,87.0166,1,1,1	-0.1267,0.0145,0.0706,359.3408,253.433,352.0235,1,1,1	0.1118,0.7846,0.0075,354.7516,272.4092,89.5201,1,1,1	0.1158,0.4272,0.0522,355.6827,286.1888,105.4002,1,1,1	0.0971,0.1054,-0.0373,359.4849,306.5126,90.0654,1,1,1	0.1621,0.02,0.0516,1.4896,306.314,348.6183,1,1,1	0.0367,0.977,-0.0137,359.8952,87.8274,283.8778,1,1,1	0.0362,1.1056,-0.0049,359.45,88.7684,282.8127,1,1,1	0.0348,1.2343,0.0016,359.45,88.7684,267.8127,1,1,1	0.0331,1.3265,0.0392,1.0004,101.0068,269.394,1,1,1	0.0088,1.2341,0.0011,292.6128,48.7328,130.2474,1,1,1	-0.0978,1.1668,-0.0127,289.4717,316.0991,242.2921,1,1,1	-0.1298,0.9268,-0.0564,296.9572,338.7203,230.8574,1,1,1	-0.1477,0.7662,-0.0579,19.2565,12.757,184.941,1,1,1	0.0608,1.2346,0.0022,69.4141,132.4124,134.2329,1,1,1	0.1648,1.1627,-0.0065,66.2312,217.0107,227.636,1,1,1	0.1954,0.9304,-0.0818,62.7185,208.5268,228.8842,1,1,1	0.2145,0.77,-0.0881,336.3413,171.3307,190.2575,1,1,1
0.5795,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0413,0.7834,0.0018,359.7213,87.0558,268.8348,1,1,1	0.0411,0.8284,0.0008,359.7214,87.056,273.7893,1,1,1	-0.033,0.7831,-0.002,0.4287,268.1041,91.772,1,1,1	-0.0692,0.4276,0.0562,0.0125,268.8225,106.7538,1,1,1	-0.0987,0.1054,-0.028,0.1727,253.7338,86.3105,1,1,1	-0.1276,0.013,0.0722,359.4019,253.8133,351.9141,1,1,1	0.1155,0.7838,0.0056,354.4146,272.8547,89.7061,1,1,1	0.1179,0.4266,0.0515,355.2386,286.7815,105.3596,1,1,1	0.0959,0.1048,-0.0373,359.5947,306.6556,90.0481,1,1,1	0.1611,0.0194,0.0514,1.6271,306.4507,348.4403,1,1,1	0.0412,0.9764,-0.0152,0.0049,88.0258,284.148,1,1,1	0.0409,1.105,-0.0058,359.6366,89.0915,283.0222,1,1,1	0.04,1.2337,0.0011,359.6366,89.0915,268.0222,1,1,1	0.0388,1.3257,0.0391,1.293,102.2604,270.1429,1,1,1	0.0139,1.2335,0.0008,292.8701,49.0742,130.296,1,1,1	-0.0929,1.1667,-0.0124,289.5465,316.0977,241.5939,1,1,1	-0.1249,0.9268,-0.0574,296.8927,338.0677,230.3627,1,1,1	-0.1434,0.7663,-0.0593,18.3297,11.628,182.0095,1,1,1	0.066,1.2339,0.0016,69.5305,133.6515,135.2592,1,1,1	0.1696,1.1614,-0.0078,65.9995,216.4314,226.3855,1,1,1	0.2004,0.9299,-0.0854,62.5784,208.2744,228.0567,1,1,1	0.2202,0.7697,-0.0927,335.5931,171.5633,190.4926,1,1,1
0.6362,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0427,0.7832,0.0022,359.7148,87.3789,268.8518,1,1,1	0.0425,0.8282,0.0012,359.7149,87.3791,273.8063,1,1,1	-0.0316,0.7828,-0.0012,0.3969,268.4684,91.5703,1,1,1	-0.0677,0.4272,0.056,359.9475,268.9146,106.5655,1,1,1	-0.0976,0.1053,-0.0292,0.0766,253.5371,87.0647,1,1,1	-0.1274,0.0143,0.072,359.2559,253.6129,352.3887,1,1,1	0.117,0.7836,0.0056,354.2948,273.2291,89.6351,1,1,1	0.1188,0.4262,0.0511,355.0821,287.0839,105.4065,1,1,1	0.0956,0.1043,-0.0371,359.619,306.7172,90.0955,1,1,1	0.161,0.019,0.0516,1.6581,306.5126,348.4492,1,1,1	0.0425,0.9762,-0.0147,0.3462,88.3252,283.9031,1,1,1	0.043,1.1048,-0.0059,359.8062,89.2937,282.9496,1,1,1	0.0425,1.2336,0.0009,359.8062,89.2937,267.9496,1,1,1	0.0417,1.3256,0.0388,1.6571,102.9957,270.4435,1,1,1	0.0165,1.2335,0.0007,292.973,49.5985,129.9007,1,1,1	-0.0906,1.1669,-0.0122,289.5676,316.3497,241.3176,1,1,1	-0.1229,0.9272,-0.0575,296.8792,338.1485,230.2926,1,1,1	-0.1414,0.7667,-0.0594,17.7058,11.5581,180.607,1,1,1	0.0685,1.2336,0.0013,69.7793,134.1502,135.6019,1,1,1	0.1717,1.1607,-0.0084,65.9026,216.1885,225.7981,1,1,1	0.2027,0.9296,-0.0869,62.5282,208.2207,227.7165,1,1,1	0.2228,0.7694,-0.0947,335.1279,171.6856,190.8799,1,1,1
0.706,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0441,0.783,0.0036,359.7426,87.656,268.8335,1,1,1	0.0439,0.828,0.0025,359.7426,87.6562,273.788,1,1,1	-0.0302,0.7827,0.0005,0.5863,269.5302,90.9262,1,1,1	-0.064,0.4262,0.0544,359.9012,269.6578,106.2682,1,1,1	-0.0953,0.1047,-0.0321,0.0207,253.2774,88.3576,1,1,1	-0.1262,0.0161,0.0709,359.1049,253.3454,353.1474,1,1,1	0.1184,0.7834,0.0066,354.2517,273.6366,89.4765,1,1,1	0.1202,0.4258,0.0512,354.9973,287.3986,105.427,1,1,1	0.096,0.1038,-0.0367,359.7552,306.7248,90.2239,1,1,1	0.1618,0.0188,0.052,1.7951,306.5248,348.5758,1,1,1	0.0439,0.9761,-0.0135,0.4237,88.6453,283.3419,1,1,1	0.0447,1.1047,-0.0058,0.0402,89.7281,282.6341,1,1,1	0.0447,1.2335,0.0003,0.0402,89.7281,267.6341,1,1,1	0.0446,1.3258,0.0376,2.2058,103.9165,270.6072,1,1,1	0.0187,1.2335,0.0002,292.9447,50.9986,128.8775,1,1,1	-0.0888,1.1673,-0.0114,289.4289,316.8705,241.2923,1,1,1	-0.1218,0.9276,-0.0561,296.7077,338.5772,230.3253,1,1,1	-0.1405,0.7671,-0.0574,16.7802,11.7271,179.4531,1,1,1	0.0707,1.2335,0.0004,70.2885,134.5128,135.6015,1,1,1	0.1734,1.1598,-0.0094,65.9582,216.4078,225.3343,1,1,1	0.2043,0.9289,-0.0886,62.6806,208.6641,227.384,1,1,1	0.2249,0.7688,-0.0964,334.7249,172.4243,190.9877,1,1,1
0.7561,11,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,1,1,1	0.0446,0.7829,0.0045,359.9146,87.7479,268.8405,1,1,1	0.0446,0.8279,0.0035,359.9146,87.7482,273.795,1,1,1	-0.0297,0.7828,0.0016,0.973,271.1103,90.2329,1,1,1	-0.0596,0.4252,0.052,359.8432,271.0845,106.1876,1,1,1	-0.0934,0.1037,-0.0342,0.0645,253.1936,89.0651,1,1,1	-0.1247,0.0164,0.0698,359.1649,253.2485,353.9518,1,1,1	0.1189,0.783,0.0074,354.293,273.8134,89.4119,1,1,1	0.1212,0.4254,0.0515,355.0327,287.4978,105.3711,1,1,1	0.0969,0.1035,-0.0367,359.9654,306.6861,90.3082,1,1,1	0.1629,0.0186,0.052,2.0004,306.4901,348.689,1,1,1	0.045,0.9759,-0.0125,0.0974,88.8911,282.8697,1,1,1	0.0451,1.1046,-0.0059,0.138,90.2698,282.3957,1,1,1	0.0454,1.2334,-0.0004,0.138,90.2698,267.3957,1,1,1	0.0458,1.3259,0.0366,2.4954,104.6657,270.3546,1,1,1	0.0194,1.2335,-0.0002,292.8634,52.1544,128.2317,1,1,1	-0.0883,1.1674,-0.0105,289.3575,317.5495,241.4512,1,1,1	-0.122,0.9276,-0.0543,296.6696,339.4241,230.4549,1,1,1	-0.1406,0.7671,-0.0551,16.1971,12.5722,179.2427,1,1,1	0.0715,1.2334,-0.0005,70.6338,134.8371,135.4443,1,1,1	0.1738,1.1593,-0.0108,66.1082,217.0644,224.8032,1,1,1	0.2042,0.9285,-0.0906,63.0489,209.6351,226.7971,1,1,1	0.2257,0.7685,-0.0985,334.3209,173.9724,190.5525,1,1,1
